央视频道,#genre#
辽宁卫视,http://120.210.193.151:8006/120000000058/G_LIAONING-CQ/index.m3u8?channel-id=
江西卫视,http://120.210.193.151:8006/120000000058/G_JIANGXI-HQ/index.m3u8?channel-id=
深圳卫视,http://120.210.193.151:8006/120000000058/G_SHENZHEN-HQ/index.m3u8?channel-id=
贵州卫视,http://120.210.193.151:8006/120000000058/G_GUIZHOU-HQ/index.m3u8?channel-id=
河北卫视,http://120.210.193.151:8006/120000000058/G_HEBEI-CQ/index.m3u8?channel-id=
吉林卫视,http://120.210.193.151:8006/120000001002/XMTjlstvhd/index.m3u8?channel-id=
广东卫视,http://120.210.193.151:8006/120000000058/G_GUANGDONG-HQ/index.m3u8?channel-id=
山西卫视,http://120.210.193.151:8006/120000000058/SXWS/index.m3u8?channel-id=
四川卫视,http://120.210.193.151:8006/120000000058/G_SICHUAN-CQ/index.m3u8?channel-id=
湖北卫视,http://120.210.193.151:8006/120000000058/G_HUBEI-HQ/index.m3u8?channel-id=
广西卫视,http://120.210.193.151:8006/120000000058/GXWS/index.m3u8?channel-id=
陕西卫视,http://120.210.193.151:8006/120000000058/G_SHANXI/index.m3u8?channel-id=
甘肃卫视,http://120.210.193.151:8006/120000000058/G_GANSU-HD/index.m3u8?channel-id=
重庆卫视,http://120.210.193.151:8006/120000000058/G_CHONGQING-CQ/index.m3u8?channel-id=
宁夏卫视,http://120.210.193.151:8006/120000000058/G_NINGXIA/index.m3u8?channel-id=
青海卫视,http://120.210.193.151:8006/120000000058/G_QINGHAI/index.m3u8?channel-id=
新疆卫视,http://120.210.193.151:8006/120000000058/G_XINJIANG/index.m3u8?channel-id=
内蒙古卫视,http://120.210.193.151:8006/120000000058/G_NEIMENGGU/index.m3u8?channel-id=
云南卫视,http://120.210.193.151:8006/120000000058/G_YUNNAN/index.m3u8?channel-id=
河南卫视,http://120.210.193.151:8006/120000000058/G_HENAN-HQ/index.m3u8?channel-id=
海南卫视,http://120.210.193.151:8006/120000000058/LYWS/index.m3u8?channel-id=
三沙卫视,http://120.210.193.151:8006/120000000058/G_SANSHA/index.m3u8?channel-id=
厦门卫视,http://120.210.193.151:8006/120000000058/G_XIAMEN/index.m3u8?channel-id=
兵团卫视,http://120.210.193.151:8006/120000000058/G_BINGTUAN/index.m3u8?channel-id=
东南卫视,http://120.210.193.151:8006/120000000058/G_DONGNAN-HQ/index.m3u8?channel-id=
黑龙江卫视,http://120.210.193.151:8006/120000000058/G_HEILONGJIANG-HQ/index.m3u8?channel-id=
西藏卫视,http://120.210.193.151:8006/120000000058/G_XIZANG/index.m3u8?channel-id=

北京卫视,http://120.210.193.151:8006/120000001002/XMTbjwshd/index.m3u8?channel-id=
东方卫视,http://120.210.193.151:8006/120000001002/XMTdfwshd/index.m3u8?channel-id=
浙江卫视,http://120.210.193.151:8006/120000001002/XMTzjwshd/index.m3u8?channel-id=
江苏卫视,http://120.210.193.151:8006/120000001002/XMTjswshd/index.m3u8?channel-id=
湖南卫视,http://120.210.193.151:8006/120000001002/XMThunwshd/index.m3u8?channel-id=
安徽卫视,http://120.210.193.151:8006/120000001002/XMTahwshd/index.m3u8?channel-id=
湖北卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-hubeistv/1.m3u8?channel-id=
河南卫视,http://120.210.193.151:8006/120000001002/XMThenanwshd/index.m3u8?channel-id=
河北卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-hebeistv/1.m3u8?channel-id=
山东卫视,http://120.210.193.151:8006/120000001002/XMTsdwshd/index.m3u8?channel-id=
天津卫视,http://120.210.193.151:8006/120000001002/XMTtjwshd/index.m3u8?channel-id=
四川卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-sichuanstv/1.m3u8?channel-id=
贵州卫视,http://120.210.193.151:8006/120000001001/wlds:8080/ysten-business/live/pltv-guizhoustv/1.m3u8?channel-id=
重庆卫视,http://120.210.193.151:8006/120000001002/XMTcqwshd/index.m3u8?channel-id=
江西卫视,http://120.210.193.151:8006/120000001002/XMTjiangxiwshd/index.m3u8?channel-id=
黑龙江卫视,http://120.210.193.151:8006/120000001002/XMThljwshd/index.m3u8?channel-id=
吉林卫视,http://120.210.193.151:8006/120000001002/XMTjlwshd/index.m3u8?channel-id=
辽宁卫视,http://120.210.193.151:8006/120000001002/XMTlnwshd/index.m3u8?channel-id=
东南卫视,http://120.210.193.151:8006/120000001002/XMTdnwshd/index.m3u8?channel-id=
海南卫视,http://120.210.193.151:8006/120000001002/XMThainanwshd/index.m3u8?channel-id=
深圳卫视,http://120.210.193.151:8006/120000001002/XMTszwshd/index.m3u8?channel-id=
广东卫视,http://120.210.193.151:8006/120000001002/XMTgdwshd/index.m3u8?channel-id=
广西卫视,http://120.210.193.151:8006/120000001002/XMTgxws/index.m3u8?channel-id=
云南卫视,http://120.210.193.151:8006/120000001002/XMTynws/index.m3u8?channel-id=
甘肃卫视,http://120.210.193.151:8006/120000001002/XMTgswshd/index.m3u8?channel-id=
青海卫视,http://120.210.193.151:8006/120000001002/XMTqhws/index.m3u8?channel-id=
陕西卫视,http://120.210.193.151:8006/120000001002/XMTsxws/index.m3u8?channel-id=
宁夏卫视,http://120.210.193.151:8006/120000001002/XMTnxws/index.m3u8?channel-id=
内蒙古卫视,http://120.210.193.151:8006/120000001002/XMTnmgws/index.m3u8?channel-id=
新疆卫视,http://120.210.193.151:8006/120000001002/XMTxjws/index.m3u8?channel-id=
西藏卫视,http://120.210.193.151:8006/120000001002/XMTxzws/index.m3u8?channel-id=
兵团卫视,http://120.210.193.151:8006/120000001002/XMTbtws/index.m3u8?channel-id=


安徽频道,#genre#
安徽导视,http://120.210.193.151:8006/120000001002/XMTah_gddspd/index.m3u8?channel-id=
安徽公共,http://120.210.193.151:8006/120000001002/XMTah_gghd/index.m3u8?channel-id=
安徽国际,http://120.210.193.151:8006/120000001002/XMTahgj/index.m3u8?channel-id=
安徽影视,http://120.210.193.151:8006/120000001002/XMTah_yshd/index.m3u8?channel-id=
安徽经济生活,http://120.210.193.151:8006/120000001002/XMTah_jjhd/index.m3u8?channel-id=
安徽农业·科教,http://120.210.193.151:8006/120000001002/XMTah_kjhd/index.m3u8?channel-id=
安徽综艺·体育,http://120.210.193.151:8006/120000001002/XMTah_zyhd/index.m3u8?channel-id=
池州新闻综合,http://120.210.193.151:8006/120000001002/XMTczxw/1.m3u8?channel-id=
合肥新闻,http://120.210.193.151:8006/120000001002/XMThfxw/1.m3u8?channel-id=
芜湖生活频道,http://120.210.193.151:8006/120000001002/XMTwhgg/1.m3u8?channel-id=
芜湖新闻综合,http://120.210.193.151:8006/120000001002/XMTwhxw/1.m3u8?channel-id=
湾沚综合,http://120.210.193.151:8006/120000001002/XMTwhxxw/1.m3u8?channel-id=
繁昌新闻综合,http://120.210.193.151:8006/120000001002/XMTfcxw/1.m3u8?channel-id=
南陵新闻综合,http://120.210.193.151:8006/120000001002/XMTnlxw/1.m3u8?channel-id=
无为综合,http://120.210.193.151:8006/120000001002/XMTwwxw/1.m3u8?channel-id=
蚌埠新闻,http://120.210.193.151:8006/120000001002/XMTbbxw/1.m3u8?channel-id=
蚌埠生活,http://120.210.193.151:8006/120000001002/XMTbbsh/1.m3u8?channel-id=
怀远综合,http://120.210.193.151:8006/120000001002/XMThyxw/1.m3u8?channel-id=
五河新闻综合,http://120.210.193.151:8006/120000001002/XMTwuhxw/1.m3u8?channel-id=
固镇综合,http://120.210.193.151:8006/120000001002/XMTgzxw/1.m3u8?channel-id=
淮南新闻综合,http://120.210.193.151:8006/120000001002/XMThnxw/1.m3u8?channel-id=
淮南民生,http://120.210.193.151:8006/120000001002/XMThnms/1.m3u8?channel-id=
寿县综合,http://111.39.197.96:6410/120000001002/XMTshouxzh/index.m3u8??channel-id=
马鞍山科教生活,http://120.210.193.151:8006/120000001002/XMTmasgg/1.m3u8?channel-id=
马鞍山新闻综合,http://120.210.193.151:8006/120000001002/XMTmasxw/1.m3u8?channel-id=
淮北新闻综合,http://120.210.193.151:8006/120000001002/XMThbxw/1.m3u8?channel-id=
淮北经济生活,http://120.210.193.151:8006/120000001002/XMThbjjsh/1.m3u8?channel-id=
濉溪综合频道,http://120.210.193.151:8006/120000001002/XMTsxzh/1.m3u8?channel-id=
安庆新闻综合,http://120.210.193.151:8006/120000001002/XMTaqxw/1.m3u8?channel-id=
安庆经济生活,http://120.210.193.151:8006/120000001002/XMTaqjjsh/1.m3u8?channel-id=
枞阳电视台,http://120.210.193.151:8006/120000001002/XMTzydst/1.m3u8?channel-id=
岳西新闻综合,http://120.210.193.151:8006/120000001002/XMTyxxw/1.m3u8?channel-id=
潜山综合,http://120.210.193.151:8006/120000001002/XMTqszh/1.m3u8?channel-id=
桐城综合,http://120.210.193.151:8006/120000001002/XMTtcxw/1.m3u8?channel-id=
太湖新闻综合,http://120.210.193.151:8006/120000001002/XMTthxw/1.m3u8?channel-id=
铜陵新闻综合,http://120.210.193.151:8006/120000001002/XMTtlxw/1.m3u8?channel-id=
铜陵教育科技,http://120.210.193.151:8006/120000001002/XMTtljy/1.m3u8?channel-id=
义安新闻综合,http://120.210.193.151:8006/120000001002/XMTyaxw/1.m3u8?channel-id=
黄山文旅频道,http://120.210.193.151:8006/120000001002/XMThsgg/1.m3u8?channel-id=
黄山新闻综合,http://120.210.193.151:8006/120000001002/XMThsxw/1.m3u8?channel-id=
黄山区融媒,http://120.210.193.151:8006/120000001002/XMThsqrm/1.m3u8?channel-id=
徽州区新闻,http://120.210.193.151:8006/120000001002/XMThzqxw/1.m3u8?channel-id=
绩溪新闻综合,http://120.210.193.151:8006/120000001002/XMTjxxw/1.m3u8?channel-id=
屯溪融媒,http://120.210.193.151:8006/120000001002/XMTtxrm/1.m3u8?channel-id=
歙县综合,http://120.210.193.151:8006/120000001002/XMTshxzh/1.m3u8?channel-id=
休宁新闻综合,http://120.210.193.151:8006/120000001002/XMTxnxw/1.m3u8?channel-id=
祁门综合频道,http://120.210.193.151:8006/120000001002/XMTqmxw/1.m3u8?channel-id=
黟县新闻综合,http://120.210.193.151:8006/120000001002/XMTyixxw/1.m3u8?channel-id=
滁州新闻综合,http://120.210.193.151:8006/120000001002/XMTchzxw/1.m3u8?channel-id=
滁州科教频道,http://120.210.193.151:8006/120000001002/XMTczkg/1.m3u8?channel-id=
滁州公共频道,http://120.210.193.151:8006/120000001002/XMTczgg/1.m3u8?channel-id=
阜阳都市文艺,http://120.210.193.151:8006/120000001002/XMTfyds/1.m3u8?channel-id=
阜阳生活频道,http://120.210.193.151:8006/120000001002/XMTfygg/1.m3u8?channel-id=
阜阳教育频道,http://120.210.193.151:8006/120000001002/XMTfyjy/1.m3u8?channel-id=
阜阳新闻综合,http://120.210.193.151:8006/120000001002/XMTfyxw/1.m3u8?channel-id=
界首综合,http://120.210.193.151:8006/120000001002/XMTjsxw/1.m3u8?channel-id=
临泉新闻,http://120.210.193.151:8006/120000001002/XMTlqxw/1.m3u8?channel-id=
阜南新闻综合,http://120.210.193.151:8006/120000001002/XMTfnxw/1.m3u8?channel-id=
宿州新闻综合,http://120.210.193.151:8006/120000001002/XMTszxw/1.m3u8?channel-id=
宿州科教生活,http://120.210.193.151:8006/120000001002/XMTszkj/1.m3u8?channel-id=
灵璧新闻综合,http://120.210.193.151:8006/120000001002/XMTlbxw/1.m3u8?channel-id=
灵璧文旅经济,http://120.210.193.151:8006/120000001002/XMTlbwl/1.m3u8?channel-id=
萧县新闻综合,http://120.210.193.151:8006/120000001002/XMTxxxw/1.m3u8?channel-id=
泗县新闻频道,http://120.210.193.151:8006/120000001002/XMTsxxw/1.m3u8?channel-id=
六安综合,http://120.210.193.151:8006/120000001002/XMTlaxw/1.m3u8?channel-id=
六安社会生活,http://120.210.193.151:8006/120000001002/XMTlashsh/1.m3u8?channel-id=
霍山综合,http://120.210.193.151:8006/120000001002/XMThszh/1.m3u8?channel-id=
霍邱新闻综合,http://120.210.193.151:8006/120000001002/XMThqxw/1.m3u8?channel-id=
金寨综合,http://120.210.193.151:8006/120000001002/XMTjzxw/1.m3u8?channel-id=
亳州农村频道,http://120.210.193.151:8006/120000001002/XMTbznc/1.m3u8?channel-id=
亳州综合频道,http://120.210.193.151:8006/120000001002/XMTbzxw/1.m3u8?channel-id=
利辛新闻综合,http://120.210.193.151:8006/120000001002/XMTlxzh/1.m3u8?channel-id=
涡阳新闻综合,http://120.210.193.151:8006/120000001002/XMTgyxw/1.m3u8?channel-id=
蒙城新闻,http://120.210.193.151:8006/120000001002/XMTmcxw/1.m3u8?channel-id=
宣城综合,http://120.210.193.151:8006/120000001002/XMTxcxw/1.m3u8?channel-id=
宁国新闻综合,http://120.210.193.151:8006/120000001002/XMTngyt/1.m3u8?channel-id=
旌德综合,http://120.210.193.151:8006/120000001002/XMTjdzh/1.m3u8?channel-id=
广德新闻综合,http://120.210.193.151:8006/120000001002/XMTgdxw/1.m3u8?channel-id=
广德生活频道,http://120.210.193.151:8006/120000001002/XMTgdsh/1.m3u8?channel-id=
郎溪新闻综合,http://120.210.193.151:8006/120000001002/XMTlxxw/1.m3u8?channel-id=


数字频道,#genre#
CHC动作电影,http://120.210.193.151:8006/120000002002/XMTdzdy/1.m3u8?channel-id=
CHC家庭影院,http://120.210.193.151:8006/120000001002/XMTjtyy/1.m3u8?channel-id=
CHC影迷电影,http://120.210.193.151:8006/120000001002/XMTgqdy/1.m3u8?channel-id=
CCTV-电视指南,http://120.210.193.151:8006/120000001002/XMTdszn/1.m3u8?channel-id=
CCTV-央视文化精品,http://120.210.193.151:8006/120000001002/XMTysjp/1.m3u8?channel-id=
CCTV-央视台球,http://120.210.193.151:8006/120000001002/XMTystq/1.m3u8?channel-id=
CCTV-女性时尚,http://120.210.193.151:8006/120000001002/XMTnxss/1.m3u8?channel-id=
CCTV-怀旧剧场,http://120.210.193.151:8006/120000001002/XMThjjc/1.m3u8?channel-id=
CCTV-风云剧场,http://120.210.193.151:8006/120000001002/XMTfyjc/1.m3u8?channel-id=
CCTV-第一剧场,http://120.210.193.151:8006/120000001002/XMTdyjc/1.m3u8?channel-id=
CCTV-兵器科技,http://120.210.193.151:8006/120000001002/XMTbqsd/1.m3u8?channel-id=
CCTV-风云足球,http://120.210.193.151:8006/120000001002/XMTfyzq/1.m3u8?channel-id=
CCTV-风云音乐,http://120.210.193.151:8006/120000001002/XMTfyyy/1.m3u8?channel-id=
CCTV-高尔夫·网球,http://120.210.193.151:8006/120000001002/XMTgolf/1.m3u8?channel-id=
CCTV-世界地理,http://120.210.193.151:8006/120000001002/XMTsjdl/1.m3u8?channel-id=
NewTV超级体育,http://120.210.193.151:8006/120000000058/GITV-AH-1/index.m3u8?channel-id=
NewTV超级综艺,http://120.210.193.151:8006/120000000058/GITV-AH-2/index.m3u8?channel-id=
NewTV潮妈辣婆,http://120.210.193.151:8006/120000000058/GITV-AH-3/index.m3u8?channel-id=
NewTV精彩赛事,http://120.210.193.151:8006/120000000058/GITV-AH-4/index.m3u8?channel-id=
NewTV农业致富,http://120.210.193.151:8006/120000000058/GITV-AH-5/index.m3u8?channel-id=
NewTV怡伴健康,http://120.210.193.151:8006/120000000058/GITV-AH-6/index.m3u8?channel-id=
NewTV精品体育,http://120.210.193.151:8006/120000000058/GITV-AH-7/index.m3u8?channel-id=
NewTV精品纪录,http://120.210.193.151:8006/120000000058/GITV-AH-8/index.m3u8?channel-id=
NewTV家庭剧场,http://120.210.193.151:8006/120000000058/GITV-AH-9/index.m3u8?channel-id=
NewTV精彩影院,http://120.210.193.151:8006/120000000058/GITV-AH-10/index.m3u8?channel-id=
NewTV超级电视剧,http://120.210.193.151:8006/120000000058/GITV-AH-11/index.m3u8?channel-id=
NewTV超级电影,http://120.210.193.151:8006/120000000058/GITV-AH-12/index.m3u8?channel-id=
